2021-10-08 00:10:858 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-08 00:10:740 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (c5e0502e7c2ba080c436954107b8f891)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-08 00:10:471 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-08 00:10:232 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (0206cbbd60a64f9867b0678b87042bae)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-08 15:10:555 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-08 15:10:90 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (1ecc52275ab713319b036e5d6235f6a1)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-08 15:10:927 INFO  HomePage :24 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (1ecc52275ab713319b036e5d6235f6a1)] -> css selector: button[disabled='disabled']]
2021-10-08 15:10:895 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-08 15:10:396 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (c6fb7c0c1103e27dc30128387cf6505f)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-09 23:10:910 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-09 23:10:13 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (1549e91b685ab6f8e4f29ec579ff858b)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-09 23:10:375 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-09 23:10:386 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (e9c47d08349c11c12a43e5290ff707d3)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-09 23:10:907 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-09 23:10:718 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (8b127a72a46bfdd30e353599e351fa3c)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-09 23:10:154 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-09 23:10:893 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (96e386aff3e48acbd1b5fb57ae71d60b)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-09 23:10:629 INFO  HomePage :24 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (96e386aff3e48acbd1b5fb57ae71d60b)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-09 23:10:671 INFO  BookingPage :27 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-09 23:10:400 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-09 23:10:642 INFO  HomePage :20 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (a3d540159fe00915273857948249db7c)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-09 23:10:451 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-09 23:10:484 INFO  HomePage :22 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (eab05abebb31b9bf8e805699aa890e48)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-09 23:10:617 INFO  HomePage :30 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (eab05abebb31b9bf8e805699aa890e48)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-09 23:10:504 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-09 23:10:739 INFO  HomePage :22 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (bd548083698d2f7852b2ea4d53883f80)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-09 23:10:887 INFO  HomePage :30 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (bd548083698d2f7852b2ea4d53883f80)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-09 23:10:255 INFO  BasePage :33 - Launching Chrome Browser 
